"gene","type"
"LTA","ligand"
"LTa1b2","ligand"
"FASLG","ligand"
"TNFSF15","ligand"
"EDA","ligand"
"NGF","ligand"
"TNFSF11","ligand"
"TNFSF8","ligand"
"TNFSF9","ligand"
"TNFSF13","ligand"
"TNFSF13B","ligand"
"SPP1","ligand"
"ADIPOQ","ligand"
"NAMPT","ligand"
"ANGPTL1","ligand"
"ANGPTL2","ligand"
"ANGPTL4","ligand"
"ANGPTL3","ligand"
"ANGPT1","ligand"
"ANGPT2","ligand"
"MDK","ligand"
"PTN","ligand"
"POSTN","ligand"
"AGT","ligand"
"GRP","ligand"
"NMB","ligand"
"KNG1","ligand"
"C5","ligand"
"CCK","ligand"
"EDN1","ligand"
"EDN3","ligand"
"GAL","ligand"
"GHRL","ligand"
"POMC","ligand"
"NMU","ligand"
"NMS","ligand"
"NPFF","ligand"
"NPY","ligand"
"NTS","ligand"
"PENK","ligand"
"TAC1","ligand"
"TAC4","ligand"
"TAC3","ligand"
"PRLH","ligand"
"F2","ligand"
"PLG","ligand"
"GZMA","ligand"
"PMCH","ligand"
"PROK1","ligand"
"PROK2","ligand"
"ADCYAP1","ligand"
"VIP","ligand"
"NPPA","ligand"
"KITLG","ligand"
"GCG","ligand"
"FSHB","ligand"
"CGA","ligand"
"LHB","ligand"
"FLT3LG","ligand"
"HGF","ligand"
"NTF3","ligand"
"SEMA3A","ligand"
"SEMA3B","ligand"
"SEMA3C","ligand"
"SEMA3D","ligand"
"SEMA3F","ligand"
"SEMA3G","ligand"
"SEMA3E","ligand"
"APELA","ligand"
"CRH","ligand"
"ENHO","ligand"
"GAS6","ligand"
"GHRH","ligand"
"GRN","ligand"
"IAPP","ligand"
"INSL3","ligand"
"INSL5","ligand"
"NPS","ligand"
"NPVF","ligand"
"OSTN","ligand"
"PROS1","ligand"
"PSAP","ligand"
"PTH","ligand"
"PTH2","ligand"
"QRFP","ligand"
"RARRES2","ligand"
"SCT","ligand"
"BTLA","ligand"
"UCN","ligand"
"UCN3","ligand"
"BAG6","ligand"
"KLK6","ligand"
"KLK1","ligand"
"PROC","ligand"
"PTPRS","both"
"SLITRK1","ligand"
"SLITRK4","ligand"
"SLITRK6","ligand"
"IGFBP3","ligand"
"PPIA","ligand"
